Number of Authors:,79885
Number of Papers:,100000
Number of Topics:,3150
degree-density-values,credit-distrib-marginalized,credit-distrib-dominant,percent-marg-x,avg-credit-y
14,6,25,0.4444444444444444,3.5555555555555554
14,19,21,0.5,3.25
14,10,19,0.3,3.7
14,6,15,0.5,3.0
14,13,29,0.3333333333333333,2.6666666666666665
14,12,7,0.4,4.0
14,6,17,1.0,3.0
14,5,19,0.6666666666666666,3.1666666666666665
14,16,25,0.5,2.5
14,13,21,0.25,2.75
14,8,7,0.375,3.625
14,7,21,0.5,2.5
13,11,19,0.6666666666666666,3.3333333333333335
13,11,25,0.25,3.125
13,12,27,0.6,2.8
13,5,19,0.5,2.5
13,6,19,0.36363636363636365,3.5454545454545454
13,4,13,0.5714285714285714,3.857142857142857
13,12,13,0.25,3.75
13,5,19,1.0,2.5
13,4,11,0.45161290322580644,4.225806451612903
13,5,19,0.5,3.1666666666666665
13,6,23,0.391304347826087,3.5652173913043477
13,6,11,0.5,3.5
13,13,7,0.5,2.5
13,12,9,0.4,3.6
13,5,7,0.36363636363636365,7.2727272727272725
13,4,21,0.0,3.0
13,9,17,0.0,3.0
13,15,19,0.42105263157894735,3.5789473684210527
13,6,25,0.5333333333333333,3.6666666666666665
13,6,15,0.4,3.8
13,4,27,0.3333333333333333,2.6666666666666665
13,6,17,0.25,3.75
13,11,17,0.4666666666666667,3.533333333333333
13,12,23,0.5,3.5
13,14,19,0.42857142857142855,2.857142857142857
13,8,35,0.5454545454545454,3.272727272727273
13,14,15,0.3333333333333333,4.0
13,7,17,0.25,3.75
13,5,11,0.3157894736842105,4.105263157894737
13,7,17,0.6,2.4
13,17,21,0.5,3.3333333333333335
12,9,17,0.3333333333333333,2.6666666666666665
12,6,9,0.5833333333333334,3.25
12,3,5,0.4642857142857143,3.5357142857142856
12,10,11,0.25,4.0
12,14,11,0.3333333333333333,3.3333333333333335
12,10,13,0.5555555555555556,6.666666666666667
12,7,31,0.3333333333333333,4.0
12,7,13,0.5833333333333334,3.25
12,13,9,0.45454545454545453,3.4545454545454546
12,7,9,0.25,4.25
12,8,15,0.3333333333333333,4.333333333333333
12,6,21,0.5833333333333334,3.25
12,13,33,0.5333333333333333,3.066666666666667
12,4,9,0.3333333333333333,4.333333333333333
12,11,15,0.3333333333333333,4.0
12,7,19,0.4444444444444444,3.0
12,10,13,0.47619047619047616,4.428571428571429
12,6,9,0.5,3.6666666666666665
12,11,19,0.4444444444444444,3.4444444444444446
12,10,13,0.5714285714285714,2.5714285714285716
12,6,21,0.5,5.25
12,13,25,0.3333333333333333,4.0
12,3,15,0.3684210526315789,3.526315789473684
12,14,25,0.3333333333333333,4.0
12,6,17,0.5,3.2
12,9,21,0.3333333333333333,4.0
12,14,23,0.3333333333333333,5.666666666666667
12,8,7,0.5769230769230769,3.0384615384615383
12,11,21,0.6666666666666666,6.333333333333333
12,6,21,0.8571428571428571,4.0
12,9,9,0.5,5.123636363636364
12,7,25,0.5,3.5
12,15,11,0.375,17.0
12,10,9,0.6470588235294118,6.647058823529412
12,7,13,0.5,2.5
12,4,7,0.4666666666666667,4.933333333333334
12,2,19,0.3333333333333333,4.0
12,10,25,0.6,3.0
12,5,17,0.46153846153846156,11.0
12,8,27,,
12,8,35,,
12,6,11,,
12,8,3,,
